Corpus,Source/Author,Year range,File Name,Content,Interrogative pronoun,Interrogative Adverb,Expletive,Other,Not sure
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"An tan fierté : pou nou sav ek fier di sa nou yé , Matinitjé , ki pas yo pa ni an drapo éti tout moun ka kolé-tet ek zépol dèyè ' y rété lanmou adan tjè ' y .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Yo matjé an gran jounal-la éti ki ni 27 fanm ki ja mò .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Antouléka , sé an jédi éti koulè wouj-la té toupatou , magré sé pa té an Mardi-gra .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Matinik nou enmen fè lafet , mé la pa ni lafet ankò , nou fini envanté jédi gra éti moun ka di gra épi épé : nou ni asé fok lé pri bésé .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Pou montré bon tjè ' y , i désidé pòté plent pas té ké ni an SMS éti i ka di : Neg ké toujou viré an pié bétjé lè yo ké fen !",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Matinik , menm si nou tann di éti an malad épi dializ ped ta ' y la , nou pa ni désé .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Sé péchè krab la di : Nou ni dwa péché lè nou lé , éti nou anvi !",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Nou aprann , Prézidan Sarko ki ké la simenn-tala té ké mandé an papié éti tout moun pou dakò .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Yonn pou lartik 73 épi dé pour lartik 74 pas yo ni titak plis lajan éti ki séré adan an matla .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sé mésié té vini pou asiré sékirité Niko éti ki la pou fè bri pou fè moun pè .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Ni sa ki kontinié travay normalman ; mé ni sa éti ki aprann lison-yo bien malman .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Sa ka aprann yo lavi , pas yo ké tonbé , trilbiché , fè matjilpa , é lè yo ké mantjé tonbé sé ké dé bel pa adan lawonn lavi-tala éti ka vini anmizi-anmizi bandé-bandé-bandé akondi chanté-a .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Anfen sé té dé malprop ki té ka ladjé tout kochonni-yo a di met an décharge publique an koté éti yo ka jété zòdi pou ayen .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sé pa kon ta Dikos éti Jozef an manmay Sent-Lisi rivé douvan an lot boug Gwadloup Édi ki té anvi jwé boula .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Antouléka , man konstaté ki sé pwason éti yo di ni klordokòn la , sé direktiman sa jan isi .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,I jik mandé mwen es sé pa dan an péyi lotbò éti boug ka fè sa yo anvi épi fanm i té ké yé .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Lalwa ka di sé jan éti ka viv an péyi-a ki pou voté ; pas sé yo ki Matinitjé .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Tala éti ki ni Jounen entènasional kréyol .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sa pa fasil mété douvan an lang éti yo té défann ou palé ' y .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Lè ' w piti , menm si ou rété pasé karann-senkan asou an tè ; menm si an lwa ka ba ' w dwa , apré trantan pou ou réklamé ' y pou ta ' w ; lè sé an tè Bétjé éti ki di sé ta ' y , ou pa oblijé ni pies chans .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sé sa ki rivé Bélo éti asou an tè pasé karantan .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sé bien sa ka rivé tout jan Fod-Frans éti ki ni labitid pran MOZAÏK .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Yo ba L ' EDF lotorizasion agrandi , mé li ki mè i pa ni lod pou an tè éti i pou fè kay ba méléré .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Tou sa fè ki lé-zafè éti pa té ja djè klè , vini ankò pli an toch .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Mi dé kèsion ki pé ba nou lagrip pou chwézi : Dabò-pou-yonn , es zot pou chanjman Matinik dan an kolektivité lotbò dlo éti artik 74-la ka mennen , épi kalté owganizasion ' y ki ta ' y menm , ek ka prézervé lentérè ' y dan Lafrans ?",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Van rasis , sé an van éti Iklè té enmen .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Menm van rasi-tala éti yonn-dé niopéyen épi konplisité ti-chef , té di ki an Nafrik an ras moun té fet yenki pou travay kon bet .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Van rasi-tala mennen bon dézolasion éti ki jik atjelman ni moun ki malad .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"An sel van ki bel épi bon , sé van fraternité éti nonm kisiswa koulè ' y ka pòté respé ba dot nonm .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Fok di , sa ka ranjé yonn-dé organizatè éti apré lagrev févriyé démilnef la pa té trouvé anlo esponnsò .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Kitan Matinik ké ni an éleksion éti lé kandida ké dévopl hc58 é pogram-yo pou Matinik pa kontinié planté bannann ?,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Es moun éti té ka péyé gro kon sa lenpo ké déviré désann ?,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Ni an nanplayé ka travay la SARA , i mandé es sé pa lantoupriz-la éti i ka travay la ki té pran fè .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"d78 Lot jou sé té an magazen meb , kou-tala sé an kas éti té ké ni trop loto .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Dépi sa ni moun ka maché dépi Sentàn jik Préchè éti yo pou rivé le 22 mé .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Yo pa menm ni an lang éti yo ka respekté .,,,,,
